BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814780	SAMN14917364	NA	seed	late grain filling stage	Xian256B 40.82 N 114.88 E	RNA_B205	NA	cultivar:Xian256B_40.82_N_114.88_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814781	SAMN14917363	NA	seed	late grain filling stage	DA3buyu 40.82 N 114.88 E	RNA_B204	NA	cultivar:DA3buyu_40.82_N_114.88_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814782	SAMN14917362	NA	seed	late grain filling stage	Xiaolibaibuyuxi 40.82 N 114.88 E	RNA_B203	NA	cultivar:Xiaolibaibuyuxi_40.82_N_114.88_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814783	SAMN14917361	NA	seed	late grain filling stage	Jinshu 32.22 N 106.29 E	RNA_B202	NA	cultivar:Jinshu_32.22_N_106.29_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814784	SAMN14917360	NA	seed	late grain filling stage	Lamahuang 36.09 N 102.27 E	RNA_B200	NA	cultivar:Lamahuang_36.09_N_102.27_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814785	SAMN14917296	NA	seed	late grain filling stage	Xiaoshengbaigu 35.97 N 111.84 E	RNA_B112	NA	cultivar:Xiaoshengbaigu_35.97_N_111.84_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814786	SAMN14917295	NA	seed	late grain filling stage	Yeshengguzi 40.10 N 113.30 E	RNA_B111	NA	cultivar:Yeshengguzi_40.10_N_113.30_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814787	SAMN14917294	NA	seed	late grain filling stage	Yeshenggu 40.42 N 114.08 E	RNA_B110	NA	cultivar:Yeshenggu_40.42_N_114.08_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814788	SAMN14917293	NA	seed	late grain filling stage	Baimaolianggu 40.42 N 114.08 E	RNA_B109	NA	cultivar:Baimaolianggu_40.42_N_114.08_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814789	SAMN14917292	NA	seed	late grain filling stage	Oulihong 41.59 N 119.34 E	RNA_B108	NA	cultivar:Oulihong_41.59_N_119.34_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
