BioProject	SRA	Biosample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA827493	SRR18827799	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
PRJNA827493	SRR18827800	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
PRJNA827493	SRR18827805	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
PRJNA827493	SRR18827806	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
PRJNA847798	SRR19614426	SAMN28958141	NA	seed	dormancy and desiccation tolerance stage	Nipponbare	SQnip3	NA	isolate:rice_seed;cultivar:Nipponbare;ecotype:seed_dormancy;age:22DAP;dev_stage:dormancy_and_desiccation_tolerance_stage;geo_loc_name:China:_Changsha;tissue:seed;tmp:WT3
PRJNA847798	SRR19614427	SAMN28958140	NA	seed	dormancy and desiccation tolerance stage	Nipponbare	CYnip2	NA	isolate:rice_seed;cultivar:Nipponbare;ecotype:seed_dormancy;age:22DAP;dev_stage:dormancy_and_desiccation_tolerance_stage;geo_loc_name:China:_Changsha;tissue:seed;tmp:WT2
PRJNA847798	SRR19614428	SAMN28958139	NA	seed	dormancy and desiccation tolerance stage	Nipponbare	SXnip1	NA	isolate:rice_seed;cultivar:Nipponbare;ecotype:seed_dormancy;age:22DAP;dev_stage:dormancy_and_desiccation_tolerance_stage;geo_loc_name:China:_Changsha;tissue:seed;tmp:WT1
PRJNA1011474	SRR25884981	SAMN37176126	NA	leaf	NA	Nipponbare	Cold-NIP-1	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-10;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1011474	SRR25884988	SAMN37176119	NA	leaf	NA	Nipponbare	CK-NIP-3	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-03;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1011474	SRR25884995	SAMN37176128	NA	leaf	NA	Nipponbare	Cold-NIP-3	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-12;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1011474	SRR25884996	SAMN37176127	NA	leaf	NA	Nipponbare	Cold-NIP-2	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-11;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1011474	SRR25884997	SAMN37176118	NA	leaf	NA	Nipponbare	CK-NIP-2	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-02;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1011474	SRR25884998	SAMN37176117	NA	leaf	NA	Nipponbare	CK-NIP-1	NA	cultivar:Nipponbare;age:8-day-old;collection_date:2022-07-01;geo_loc_name:China:_Hangzhou;tissue:leaf
PRJNA1037192	SRR26772159	SAMN38166868	NA	leaf	seedling	NA	Nip-0h-1	NA	cultivar:not_collected;dev_stage:seeding;collection_date:not_collected;geo_loc_name:China;tissue:leaf
PRJNA1037192	SRR26772167	SAMN38167041	NA	leaf	seedling	NA	Nip-24h-3	NA	cultivar:not_collected;dev_stage:seeding;collection_date:not_collected;geo_loc_name:China;tissue:leaf
PRJNA1037192	SRR26772168	SAMN38167674	NA	leaf	seedling	NA	Nip_24h_2	NA	cultivar:not_collected;dev_stage:seeding;collection_date:not_collected;geo_loc_name:China;tissue:leaf
