BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA650146	SRR12399914	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399915	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399916	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399917	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399918	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399919	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399920	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399921	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399922	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399923	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399925	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399926	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399927	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399928	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399929	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399930	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399931	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399932	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399933	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA658058	SRR12658938	SAMN15856763	drought	leaf	NA	Yanshu No. 10	YD_1	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 1
PRJNA658058	SRR12658939	SAMN15856762	control	leaf	NA	Yanshu No. 10	YC_3	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 3
PRJNA658058	SRR12658940	SAMN15856761	control	leaf	NA	Yanshu No. 10	YC_2	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 2
PRJNA658058	SRR12658941	SAMN15856760	control	leaf	NA	Yanshu No. 10	YC_1	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 1
PRJNA658058	SRR12658942	SAMN15856759	drought	leaf	NA	Hequ red millet	HD_3	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 3
PRJNA658058	SRR12658943	SAMN15856758	drought	leaf	NA	Hequ red millet	HD_2	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 2
PRJNA658058	SRR12658944	SAMN15856757	drought	leaf	NA	Hequ red millet	HD_1	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 1
